relative_path,class,original_width,original_height,original_mode,new_width,new_height,new_mode,status
Hazardous/batteries/1-s2.0-S0892687521004477-ga1.jpg,Hazardous,447,200,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/1-s2.0-S2405829720304827-fx1.jpg,Hazardous,245,245,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/1-s2.0-S2666016421000268-ga1.jpg,Hazardous,340,200,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/12209_2020_236_Fig1_HTML.png,Hazardous,685,641,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/12209_2020_236_Fig2_HTML.png,Hazardous,685,436,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/18650Cell.jpg,Hazardous,750,563,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/19.13.jpg,Hazardous,2733,1049,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/1_Picture7.png,Hazardous,640,515,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/40422.MN2400B8.jpg,Hazardous,1502,1801,CMYK,224,224,RGB,STANDARDIZED
Hazardous/batteries/41560_2019_368_Fig1_HTML.png,Hazardous,2119,1359,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/41586_2019_1682_Fig1_HTML.png,Hazardous,1690,603,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,Hazardous,2097,1346,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/800px-Alkali_battery_5.jpg,Hazardous,800,600,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/AA_matchstick-1.jpg,Hazardous,600,762,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/AMP-17_61f252bb2428a.jpg,Hazardous,1200,900,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/AdobeStock_58870390.jpeg,Hazardous,6500,4500,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,Hazardous,800,715,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Alkaline-Battery-vs-Lithium-Battery.jpg,Hazardous,1200,800,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Alkaline-batteries.jpg,Hazardous,800,470,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Alkaline-vs.-Lithium-Batteries.png,Hazardous,840,2452,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/Batteries-.jpg,Hazardous,1920,1080,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Batteries3.jpg,Hazardous,698,524,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Batteries_-Lithium-Ion-Battery-and-Lithium-Polymer-Battery-Explained.png,Hazardous,2240,1260,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/Cutaway-view-dioxide-power-cell.jpg,Hazardous,1600,1086,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Difference-Between-Alkaline-and-Lithium-Batteries-Tabular-Form.jpg,Hazardous,735,1000,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Different-Types-of-Batteries.jpg,Hazardous,1200,732,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/EDR-2.jpg,Hazardous,1000,635,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/EG-BA-LR20-01_hires_photo---dea0b151-d0a5-4bac-9036-259aa2110a20.JPG.jpg,Hazardous,5568,3712,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Eneloop_6420.jpg,Hazardous,3000,3000,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Intro-to-batteries-featured.jpg,Hazardous,770,603,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Li-Batteries-for-Disposal-or-Recycling-1024x575.png,Hazardous,1024,575,RGBA,224,224,RGB,STANDARDIZED
Hazardous/batteries/Life-cycle-inventory-of-Li-ion-battery-Ecoinvent-30-Battery-Li-ion-rechargeable.png,Hazardous,850,704,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/Lithium-Batteries-vs-Alkaline-Batteries.jpg,Hazardous,800,400,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Lithium-Batteries.jpg,Hazardous,1607,577,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Lithium-ion-lithium-polymer-superhero-battery-blog-cover-image.jpg,Hazardous,768,510,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Lithium-ion_battery.jpg,Hazardous,600,600,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Lithium20batttery20pic.jpg,Hazardous,1858,580,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Lithium_battery_terminal_image_EN.jpg,Hazardous,818,430,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/NAWMA-Safe-Battery-Recycling-content.jpg,Hazardous,1695,1100,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Nokia_Battery.jpg,Hazardous,2425,1769,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Photo-collage-of-different-types-of-batteries-12022022.jpg.webp,Hazardous,1200,800,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Primary-battery-types.png,Hazardous,960,540,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/Screen-Shot-2021-07-20-at-10.37.08-AM.png,Hazardous,1300,386,RGBA,224,224,RGB,STANDARDIZED
Hazardous/batteries/The_ultimate_comparative_analysis_of_carbon_zinc_battery_vs_alkaline_800x.jpg,Hazardous,800,494,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Types-of-Batteries-1.jpg,Hazardous,1351,760,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Types-of-Batteries-Featured-Image.jpg,Hazardous,750,421,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Types-of-Batteries.jpg,Hazardous,750,432,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Types-of-BatteriesPrimary-and-Secondary.jpg,Hazardous,800,450,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/Types-of-rechargeable-batteries-.jpg,Hazardous,698,564,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/TypesofBatteries.jpg,Hazardous,1000,655,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/What_Batteries_are_Best_for_Flashlights_2991x.jpg,Hazardous,2991,1648,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/aenm202102917-fig-0006-m.jpg,Hazardous,1364,1021,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/alkaline-batteries-for-recyling.jpg,Hazardous,600,387,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/alkaline-battery_en.jpg,Hazardous,380,380,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/alkaline-zinc-carbon.jpg,Hazardous,325,217,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/basic-lithium-ion-battery-5-2_en.png,Hazardous,1200,800,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batterien_seen_fotolia_26510842_m.jpg,Hazardous,1576,1206,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batteries-04-00007-g002.png,Hazardous,2390,2211,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batteries-05-00068-g001.png,Hazardous,3721,2222,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batteries-scaled.jpg,Hazardous,2560,1920,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batteries2.jpg,Hazardous,2716,1810,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batteries20in20a20pile20WEEE.jpeg,Hazardous,400,300,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/batteries_as_hero.jpg,Hazardous,992,661,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/battery-directive-european-union.jpg,Hazardous,613,345,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/battery-recycling.jpg,Hazardous,1024,1024,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/battery-recycling2.jpg,Hazardous,728,489,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/battery-types-and-sizes.jpg.webp,Hazardous,800,600,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/battery_recycling.jpg,Hazardous,780,520,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/battery_sizing.jpg,Hazardous,900,560,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/bu-social.jpg,Hazardous,1600,821,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/carbon-zinc-battery-vs-alkaline.jpg,Hazardous,1000,750,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/collected-to-take-to-be-recycled-rather-than-be-dumped-into-landfill-2GDCM0M.jpg,Hazardous,1300,950,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/common-alkaline-battery-sizes.jpg,Hazardous,1246,853,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/creens-LCD-iPhone-panels-laptop-collected-for-disposal-in-plastic-containers.png,Hazardous,1440,792,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/d1ma00216c-f4_hi-res.gif,Hazardous,2000,826,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/d1ma00216c-f6_hi-res.gif,Hazardous,975,1016,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/ef1c02489_0011.jpeg,Hazardous,1000,713,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/energizer-cold-weather-lithium-aa-battery.jpg,Hazardous,800,494,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/fenrg-08-571440-g001.jpg,Hazardous,1950,1268,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/file-20201020-17-1x28u8s.jpg,Hazardous,1920,1171,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/image-2-716x1024.png,Hazardous,716,1024,RGBA,224,224,RGB,STANDARDIZED
Hazardous/batteries/imageqz6zbg.png,Hazardous,388,190,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/imagescxsuu.png,Hazardous,404,184,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/inf212000-fig-0001-m.jpg,Hazardous,2128,2161,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/know-what-type-of-battery-to-use-in-equipment2.jpg,Hazardous,1200,922,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/lifecycleimagebatteries.png,Hazardous,2200,1700,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/lithium-ion-aa-batteries.jpg,Hazardous,1474,1336,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/lithium-ion-batteries3.png,Hazardous,702,347,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/lithium-ion-watt-hours-highlighted.jpg,Hazardous,500,500,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/lithium-vs-alkaline-batteries-where-the-differences-and-which-is-better.jpg,Hazardous,1000,750,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/lithium-vs-alkaline-batteries.png,Hazardous,1435,749,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/machinedesign_7204_pulse_plus_batteries_promo_0.png,Hazardous,595,446,RGBA,224,224,RGB,STANDARDIZED
Hazardous/batteries/maxresdefault.jpg,Hazardous,1280,720,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/non-rechargeable-batteries-product-image_0.png,Hazardous,477,294,RGBA,224,224,RGB,STANDARDIZED
Hazardous/batteries/photo_news_lithium_batteries_1100x500_NEW.jpg,Hazardous,1100,500,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/power-one-c-size-1-5v-battery-pack-of-2--500x500.jpg,Hazardous,335,500,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/poweron-longlife-power-9v-mrp-265.jpg,Hazardous,1024,1024,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/rechargeable-battery-2048px-5925.jpg,Hazardous,2048,1365,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/rechargeable-battery-2048px-5939.jpg,Hazardous,2048,1365,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/rechargeable-battery-2048px-5963-2x1-1.jpg,Hazardous,2048,1024,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/sc0c04940_0022.gif,Hazardous,500,295,P,224,224,RGB,STANDARDIZED
Hazardous/batteries/sciadv.abm2422-f1.jpg,Hazardous,3500,2325,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/smtd202000039-fig-0001-m.jpg,Hazardous,667,513,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/spent-batteries-CNBG3H.jpg,Hazardous,1300,958,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/suschem-02-00011-g001.png,Hazardous,2497,1395,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/technology-0-1.jpg,Hazardous,1550,1272,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/thehistoryan.jpg,Hazardous,500,375,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/typical-lithium-ion-battery.png,Hazardous,435,443,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/un3480.png,Hazardous,640,587,RGBA,224,224,RGB,STANDARDIZED
Hazardous/batteries/using-alkaline-batteries-in-your-application.jpg,Hazardous,650,466,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/van_dragt_102517_0032_how_to_choose_batteries.jpg,Hazardous,900,450,RGB,224,224,RGB,STANDARDIZED
Hazardous/batteries/what-is-a-lithium-ion-battery-what-are-the-types-of-lithium-ion-battery-chemistries.webp,Hazardous,1280,720,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/-1x-1 - Copy.jpg,Hazardous,2000,1332,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909 - Copy.jpg,Hazardous,1500,1225,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A - Copy.jpg,Hazardous,1230,1390,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141 - Copy.jpg,Hazardous,1500,996,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/0.40042800_1555498967_e-waste2 - Copy.jpg,Hazardous,1024,682,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/01-e-waste-millions-tons - Copy.jpg,Hazardous,3072,2048,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/01-e-waste-millions-tons_square - Copy.jpg,Hazardous,3072,3072,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/02bulb-web2-1454343899851-superJumbo - Copy.jpg,Hazardous,1955,2048,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.jpg,Hazardous,1920,1319,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/09109-scicon-lightbulbcxd - Copy.jpg,Hazardous,423,700,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev - Copy.jpeg,Hazardous,850,826,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1-s2.0-S2352186421006970-gr4 - Copy.jpg,Hazardous,376,324,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S - Copy.jpg,Hazardous,1000,1000,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1200px-Energiesparlampe_01_retouched - Copy.jpg,Hazardous,1200,855,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1200px-Ewaste-pile - Copy.jpg,Hazardous,1200,1600,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1200px-Handy_schrott_mobile_phone_scrap - Copy.jpg,Hazardous,1200,900,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/129249_iStock-636655004---Hero - Copy.jpg,Hazardous,1600,900,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1464951746_U1GPlR_e-waste-IndiaBLO-870 - Copy.jpg,Hazardous,870,470,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1507096064_kRvRf8_e-waste - Copy.jpg,Hazardous,870,470,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/1521042165621 - Copy.jpg,Hazardous,640,426,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/156050-wrdgfxdtvg-1615456453 - Copy.jpg,Hazardous,1200,630,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/17175 - Copy.jpeg,Hazardous,960,684,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/2020_8largeimg_799107359 - Copy.jpg,Hazardous,711,494,CMYK,224,224,RGB,STANDARDIZED
Hazardous/e-waste/2050_E-Waste_Asian_Outlook_Web_title - Copy.jpg,Hazardous,959,1355,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/20_20130315 - Copy.jpg,Hazardous,457,432,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/20f1f392-6d51-4fdb-a0a1-b6e0e837a57b.bc4be531fe04703066c45a302f6d7c0e - Copy.jpeg,Hazardous,1477,1319,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/25896 - Copy.jpg,Hazardous,560,420,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/3283392878_d023c2ef93 - Copy.jpg,Hazardous,500,333,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/341a4407444002d51dff14946e857c65 - Copy.jpg,Hazardous,1581,1529,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/47-e-waste-a-growing-concern - Copy.jpg,Hazardous,1200,628,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/516ee9d3b98a42557dc49476674823f0--e-waste-recycling-recycling-programs - Copy.jpg,Hazardous,736,1040,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/5927e3e4f1744da1ce90e7a09c175334 - Copy.jpg,Hazardous,1200,800,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/5g-internet-race-huawei-04 - Copy.jpg,Hazardous,2400,1600,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/615c6bf230f40d9decf916ae97e192681b20e27238a8ae30ccbab09630fd0a53 - Copy.jpg,Hazardous,1698,1131,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/6184AcGb9XL - Copy.jpg,Hazardous,1702,1600,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/61DVdFF9f-L - Copy.jpg,Hazardous,1500,1500,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/634ec7fb55fe19788b75085f-18-watt-cfl-light-bulbs-4-pin-g24q-2 - Copy.jpg,Hazardous,1256,1169,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/640339-50P_PRO - Copy.jpg,Hazardous,1720,1720,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/65481011 - Copy.jpg,Hazardous,600,426,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/66016104-inefficient-tungsten-light-bulbs-discarded-in-a-trash-can-green-eco-concept - Copy.jpg,Hazardous,1300,866,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/694898-electronic-waste-thinkstock - Copy.jpg,Hazardous,1280,720,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/6ft-Fluorescent-Box-Gallery-Image-1 - Copy.jpg,Hazardous,523,391,RGB,224,224,RGB,STANDARDIZED
Hazardous/e-waste/74409247-old-cellphones-and-battery-electronic-waste-concept - Copy.jpg,Hazardous,1300,866,RGB,224,224,RGB,STANDARDIZED
