relative_path,absolute_path,class,split,member3_subcategory,member3_label,member3_status
Organic/coffee_tea_bags/VOTHxV2Bgg.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/coffee_tea_bags/VOTHxV2Bgg.png,Organic,train,coffee_tea_bags,2,VALID
Hazardous/e-waste/nergy-saving-bulbs-tube-spent-incandescent-halogen-cfi-fluorescent-174891297 - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/nergy-saving-bulbs-tube-spent-incandescent-halogen-cfi-fluorescent-174891297 - Copy.png,Hazardous,train,e-waste,0,VALID
Hazardous/e-waste/rk-background-the-concept-of-recycling-and-disposal-of-electronic-2188810405 - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/rk-background-the-concept-of-recycling-and-disposal-of-electronic-2188810405 - Copy.png,Hazardous,train,e-waste,0,VALID
Non-Recyclable/diapers/used-disposable-nappies-in-plastic-sacks-fill-a-household-waste-bin-B2EA0R.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/diapers/used-disposable-nappies-in-plastic-sacks-fill-a-household-waste-bin-B2EA0R.png,Non-Recyclable,train,diapers,1,VALID
Hazardous/pesticides/007655891_1-545b05bd3c57e9fd46f3f49e371a5673-768x994.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/pesticides/007655891_1-545b05bd3c57e9fd46f3f49e371a5673-768x994.png,Hazardous,train,pesticides,0,VALID
Recyclable/plastic_bottles/Polyethylene-Terephthalate-Water-Bottles.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/plastic_bottles/Polyethylene-Terephthalate-Water-Bottles.png,Recyclable,train,plastic_bottles,3,VALID
Hazardous/paints/20141208-02b_tcm100-1373849.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/paints/20141208-02b_tcm100-1373849.png,Hazardous,train,paints,0,VALID
Hazardous/pesticides/miscellaneous-pesticides-stored-in-old-garden-shed-E672N4.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/pesticides/miscellaneous-pesticides-stored-in-old-garden-shed-E672N4.png,Hazardous,train,pesticides,0,VALID
Recyclable/plastic_bottles/water-bottle-reuse-feat.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/plastic_bottles/water-bottle-reuse-feat.png,Recyclable,train,plastic_bottles,3,VALID
Organic/coffee_tea_bags/6_e1bf33f9-cb52-45ad-a2e4-8ff8b2f6dd6d_1800x.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/coffee_tea_bags/6_e1bf33f9-cb52-45ad-a2e4-8ff8b2f6dd6d_1800x.png,Organic,train,coffee_tea_bags,2,VALID
Recyclable/glass_containers/-home-decor-lights-garden-planters-edging-organizing-DIY-apieceofrainbow-320.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/-home-decor-lights-garden-planters-edging-organizing-DIY-apieceofrainbow-320.png,Recyclable,train,glass_containers,3,VALID
Recyclable/paper_products/0688695001594027525-kraft-paper-scrap-o.jpeg.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/0688695001594027525-kraft-paper-scrap-o.jpeg.png,Recyclable,train,paper_products,3,VALID
Non-Recyclable/diapers/-baby-nappies-diapers-waste-dirty-diapers-trash-bag-disposing-used-239559297.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/diapers/-baby-nappies-diapers-waste-dirty-diapers-trash-bag-disposing-used-239559297.png,Non-Recyclable,train,diapers,1,VALID
Non-Recyclable/diapers/Screen-Shot-2017-09-18-at-14.12.32.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/diapers/Screen-Shot-2017-09-18-at-14.12.32.png,Non-Recyclable,train,diapers,1,VALID
Recyclable/glass_containers/1.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/1.png,Recyclable,train,glass_containers,3,VALID
Recyclable/cans_all_type/preston-england-close-up-on-crushed-food-cans-drinks-cans-and-sweets-EY997A.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/cans_all_type/preston-england-close-up-on-crushed-food-cans-drinks-cans-and-sweets-EY997A.png,Recyclable,train,cans_all_type,3,VALID
Organic/coffee_tea_bags/green-bin-coffee-tea-bags-1500x1917px.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/coffee_tea_bags/green-bin-coffee-tea-bags-1500x1917px.png,Organic,train,coffee_tea_bags,2,VALID
Organic/egg_shells/egg-shells2.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/egg_shells/egg-shells2.png,Organic,train,egg_shells,2,VALID
Organic/food_scraps/file-20230601-15-v2l0pv.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/food_scraps/file-20230601-15-v2l0pv.png,Organic,train,food_scraps,2,VALID
Organic/food_scraps/Food_Scraps_and_Yard_Debris_Collection_in_Portland_2010_by_Tim_Jewett.JPG.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/food_scraps/Food_Scraps_and_Yard_Debris_Collection_in_Portland_2010_by_Tim_Jewett.JPG.png,Organic,train,food_scraps,2,VALID
Hazardous/e-waste/HHW_Bulbs-updated - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/HHW_Bulbs-updated - Copy.png,Hazardous,train,e-waste,0,VALID
Recyclable/paper_products/open-box-newspaper-and-cup-inside-BFGY45.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/open-box-newspaper-and-cup-inside-BFGY45.png,Recyclable,train,paper_products,3,VALID
Recyclable/cans_all_type/beverage-can-architecture.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/cans_all_type/beverage-can-architecture.png,Recyclable,train,cans_all_type,3,VALID
Hazardous/batteries/Li-Batteries-for-Disposal-or-Recycling-1024x575.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/batteries/Li-Batteries-for-Disposal-or-Recycling-1024x575.png,Hazardous,train,batteries,0,VALID
Hazardous/paints/hazardous-waste-l.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/paints/hazardous-waste-l.png,Hazardous,train,paints,0,VALID
Non-Recyclable/diapers/4-Figure5-1.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/diapers/4-Figure5-1.png,Non-Recyclable,train,diapers,1,VALID
Hazardous/paints/How-Water-based-paints-is-better-when-wompared-with-solvent-based-paints-1024x640.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/paints/How-Water-based-paints-is-better-when-wompared-with-solvent-based-paints-1024x640.png,Hazardous,train,paints,0,VALID
Recyclable/cans_all_type/assorted-cans-campbell-s-brand-soup-shopping-cart-assorted-cans-campbell-s-brand-soup-151033750.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/cans_all_type/assorted-cans-campbell-s-brand-soup-shopping-cart-assorted-cans-campbell-s-brand-soup-151033750.png,Recyclable,train,cans_all_type,3,VALID
