duplicate_group_id,group_size,group_type,group_classes,group_splits,min_phash_distance,max_phash_distance,member_index,relative_path,absolute_path,class,split,phash
1,3,CROSS_CLASS_CONFLICT,Hazardous | Organic,train | validation,0,0,592,Hazardous/e-waste/archives-ewaste-one_one.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/archives-ewaste-one_one.png,Hazardous,train,857b1632b8aff112
1,3,CROSS_CLASS_CONFLICT,Hazardous | Organic,train | validation,0,0,1339,Organic/kitchen_waste/archives-ewaste-one_one.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/kitchen_waste/archives-ewaste-one_one.png,Organic,train,857b1632b8aff112
1,3,CROSS_CLASS_CONFLICT,Hazardous | Organic,train | validation,0,0,2035,Hazardous/e-waste/archives-ewaste-one_one - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/archives-ewaste-one_one - Copy.png,Hazardous,validation,857b1632b8aff112
2,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,train,0,0,182,Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,Recyclable,train,be0715e0567b8a69
2,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,train,0,0,411,Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,Non-Recyclable,train,be0715e0567b8a69
3,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,test | train,0,0,595,Recyclable/glass_containers/09928-cover-opener.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/09928-cover-opener.png,Recyclable,train,de019db4275c5a2d
3,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,test | train,0,0,2239,Non-Recyclable/ceramic_product/09928-cover-opener.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/ceramic_product/09928-cover-opener.png,Non-Recyclable,test,de019db4275c5a2d
4,2,SAME_CLASS_CROSS_SPLIT,Hazardous,test | train,0,0,743,Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.png,Hazardous,train,d0986606ebd1376b
4,2,SAME_CLASS_CROSS_SPLIT,Hazardous,test | train,0,0,2571,Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.png,Hazardous,test,d0986606ebd1376b
5,2,SAME_CLASS_CROSS_SPLIT,Hazardous,test | train,0,0,1010,Hazardous/e-waste/1200px-Ewaste-pile - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/1200px-Ewaste-pile - Copy.png,Hazardous,train,c29e6f632c5d7821
5,2,SAME_CLASS_CROSS_SPLIT,Hazardous,test | train,0,0,2312,Hazardous/e-waste/800px-Ewaste-pile - Copy.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/800px-Ewaste-pile - Copy.png,Hazardous,test,c29e6f632c5d7821
6,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,train | validation,0,0,1294,Recyclable/paper_products/1610468941921.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/1610468941921.png,Recyclable,train,b74dc8b2d0710fb8
6,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,train | validation,0,0,2208,Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.png,Non-Recyclable,validation,b74dc8b2d0710fb8
7,2,CROSS_CLASS_CONFLICT,Non-Recyclable | Recyclable,test | train,0,0,1603,Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.jpg,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.png,Non-Recyclable,train,cccc333298cecdc9
