duplicate_group_id,group_size,group_type,split,class,subcategory,label,label_status,review_reason,stage4_relative_path,stage4_absolute_path,stage3_relative_path,raw_relative_path,phash,phash_distance
1,3,CROSS_CLASS_CONFLICT,train,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/archives-ewaste-one_one.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/archives-ewaste-one_one.png,Hazardous/e-waste/archives-ewaste-one_one.jpg,Hazardous/Hazardous/e-waste/archives-ewaste-one_one.jpg,857b1632b8aff112,
1,3,CROSS_CLASS_CONFLICT,train,Organic,kitchen_waste,2,VALID,Exact main class and subcategory taxonomy match,Organic/kitchen_waste/archives-ewaste-one_one.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/kitchen_waste/archives-ewaste-one_one.png,Organic/kitchen_waste/archives-ewaste-one_one.jpg,Organic/Organic/kitchen_waste/archives-ewaste-one_one.jpg,857b1632b8aff112,
1,3,CROSS_CLASS_CONFLICT,validation,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/archives-ewaste-one_one - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/archives-ewaste-one_one - Copy.png,Hazardous/e-waste/archives-ewaste-one_one - Copy.jpg,Hazardous/Hazardous/e-waste/archives-ewaste-one_one - Copy.jpg,857b1632b8aff112,
2,2,CROSS_CLASS_CONFLICT,train,Recyclable,cans_all_type,3,VALID,Exact main class and subcategory taxonomy match,Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.jpg,Recyclable/Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.jpg,be0715e0567b8a69,
2,2,CROSS_CLASS_CONFLICT,train,Non-Recyclable,styrofoam_product,1,AUTO_CORRECTED,Upstream directory typo 'stroform_product' normalized to 'styrofoam_product',Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.jpg,Non-Recyclable/Non-Recyclable/stroform_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.jpg,be0715e0567b8a69,
3,2,CROSS_CLASS_CONFLICT,train,Recyclable,glass_containers,3,VALID,Exact main class and subcategory taxonomy match,Recyclable/glass_containers/09928-cover-opener.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/09928-cover-opener.png,Recyclable/glass_containers/09928-cover-opener.jpg,Recyclable/Recyclable/glass_containers/09928-cover-opener.jpg,de019db4275c5a2d,
3,2,CROSS_CLASS_CONFLICT,test,Non-Recyclable,ceramic_product,1,VALID,Exact main class and subcategory taxonomy match,Non-Recyclable/ceramic_product/09928-cover-opener.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/ceramic_product/09928-cover-opener.png,Non-Recyclable/ceramic_product/09928-cover-opener.jpg,Non-Recyclable/Non-Recyclable/ceramic_product/09928-cover-opener.jpg,de019db4275c5a2d,
4,2,SAME_CLASS_CROSS_SPLIT,train,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.png,Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.jpg,Hazardous/Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.jpg,d0986606ebd1376b,
4,2,SAME_CLASS_CROSS_SPLIT,test,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.png,Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.jpg,Hazardous/Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.jpg,d0986606ebd1376b,
5,2,SAME_CLASS_CROSS_SPLIT,train,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/1200px-Ewaste-pile - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/1200px-Ewaste-pile - Copy.png,Hazardous/e-waste/1200px-Ewaste-pile - Copy.jpg,Hazardous/Hazardous/e-waste/1200px-Ewaste-pile - Copy.jpg,c29e6f632c5d7821,
5,2,SAME_CLASS_CROSS_SPLIT,test,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/800px-Ewaste-pile - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/800px-Ewaste-pile - Copy.png,Hazardous/e-waste/800px-Ewaste-pile - Copy.jpg,Hazardous/Hazardous/e-waste/800px-Ewaste-pile - Copy.jpg,c29e6f632c5d7821,
6,2,CROSS_CLASS_CONFLICT,train,Recyclable,paper_products,3,VALID,Exact main class and subcategory taxonomy match,Recyclable/paper_products/1610468941921.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/1610468941921.png,Recyclable/paper_products/1610468941921.jpg,Recyclable/Recyclable/paper_products/1610468941921.jpg,b74dc8b2d0710fb8,
6,2,CROSS_CLASS_CONFLICT,validation,Non-Recyclable,styrofoam_product,1,AUTO_CORRECTED,Upstream directory typo 'stroform_product' normalized to 'styrofoam_product',Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.png,Non-Recyclable/styrofoam_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.jpg,Non-Recyclable/Non-Recyclable/stroform_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.jpg,b74dc8b2d0710fb8,
7,2,CROSS_CLASS_CONFLICT,train,Non-Recyclable,styrofoam_product,1,AUTO_CORRECTED,Upstream directory typo 'stroform_product' normalized to 'styrofoam_product',Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.png,Non-Recyclable/styrofoam_product/the-drive-toward-sustainability-5050-1536x1536.jpg,Non-Recyclable/Non-Recyclable/stroform_product/the-drive-toward-sustainability-5050-1536x1536.jpg,cccc333298cecdc9,
7,2,CROSS_CLASS_CONFLICT,test,Recyclable,paper_products,3,VALID,Exact main class and subcategory taxonomy match,Recyclable/paper_products/the-drive-toward-sustainability-5050-1536x1536.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/the-drive-toward-sustainability-5050-1536x1536.png,Recyclable/paper_products/the-drive-toward-sustainability-5050-1536x1536.jpg,Recyclable/Recyclable/paper_products/the-drive-toward-sustainability-5050-1536x1536.jpg,cccc333298cecdc9,
8,2,SAME_SPLIT_DUPLICATE,validation,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/electronic-waste-electronic-waste-old-computers-monitors-other-devices-to-recycle-109977003 - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/electronic-waste-electronic-waste-old-computers-monitors-other-devices-to-recycle-109977003 - Copy.png,Hazardous/e-waste/electronic-waste-electronic-waste-old-computers-monitors-other-devices-to-recycle-109977003 - Copy.jpg,Hazardous/Hazardous/e-waste/electronic-waste-electronic-waste-old-computers-monitors-other-devices-to-recycle-109977003 - Copy.jpg,adcb94210e076f7a,
8,2,SAME_SPLIT_DUPLICATE,validation,Hazardous,e-waste,0,VALID,Exact main class and subcategory taxonomy match,Hazardous/e-waste/electronic-recycling - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/electronic-recycling - Copy.png,Hazardous/e-waste/electronic-recycling - Copy.jpg,Hazardous/Hazardous/e-waste/electronic-recycling - Copy.jpg,adcb94210e076f7a,
