duplicate_group_id,group_type,split,class,subcategory,stage4_relative_path,stage4_absolute_path,decision,reason,priority
1,CROSS_CLASS_CONFLICT,train,Hazardous,e-waste,Hazardous/e-waste/archives-ewaste-one_one.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/archives-ewaste-one_one.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
1,CROSS_CLASS_CONFLICT,train,Organic,kitchen_waste,Organic/kitchen_waste/archives-ewaste-one_one.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Organic/kitchen_waste/archives-ewaste-one_one.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
1,CROSS_CLASS_CONFLICT,validation,Hazardous,e-waste,Hazardous/e-waste/archives-ewaste-one_one - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/archives-ewaste-one_one - Copy.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
2,CROSS_CLASS_CONFLICT,train,Recyclable,cans_all_type,Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/cans_all_type/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
2,CROSS_CLASS_CONFLICT,train,Non-Recyclable,styrofoam_product,Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/styrofoam_product/200114-compostable-packaging-cups-utensils-plates.pla-plastic-waste-pollution-3-salad.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
3,CROSS_CLASS_CONFLICT,train,Recyclable,glass_containers,Recyclable/glass_containers/09928-cover-opener.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/glass_containers/09928-cover-opener.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
3,CROSS_CLASS_CONFLICT,test,Non-Recyclable,ceramic_product,Non-Recyclable/ceramic_product/09928-cover-opener.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Non-Recyclable/ceramic_product/09928-cover-opener.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
4,SAME_CLASS_CROSS_SPLIT,train,Hazardous,e-waste,Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Solutions-to-e-waste-problems1 - Copy.png,EXCLUDE,Same-class duplicate appears in another split; excluded to prevent visual leakage.,HIGH
4,SAME_CLASS_CROSS_SPLIT,test,Hazardous,e-waste,Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/Electronic_waste_at_Agbogbloshie2C_Ghana - Copy.png,KEEP,Same-class duplicate across splits; retain test/priority evaluation copy to prevent train/evaluation leakage.,PROTECTED
5,SAME_CLASS_CROSS_SPLIT,train,Hazardous,e-waste,Hazardous/e-waste/1200px-Ewaste-pile - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/1200px-Ewaste-pile - Copy.png,EXCLUDE,Same-class duplicate appears in another split; excluded to prevent visual leakage.,HIGH
5,SAME_CLASS_CROSS_SPLIT,test,Hazardous,e-waste,Hazardous/e-waste/800px-Ewaste-pile - Copy.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Hazardous/e-waste/800px-Ewaste-pile - Copy.png,KEEP,Same-class duplicate across splits; retain test/priority evaluation copy to prevent train/evaluation leakage.,PROTECTED
6,CROSS_CLASS_CONFLICT,train,Recyclable,paper_products,Recyclable/paper_products/1610468941921.png,/content/drive/MyDrive/Waste_Classification_FINAL/data/processed/stage4_standardized/Recyclable/paper_products/1610468941921.png,EXCLUDE,Cross-class perceptual duplicate conflict; source labels disagree. No arbitrary relabeling performed.,HIGH
