file_1,file_2,class_1,class_2,phash_distance
Hazardous/Hazardous/batteries/12209_2020_236_Fig2_HTML.png,Hazardous/Hazardous/batteries/inf212000-fig-0004-m.jpg,Hazardous,Hazardous,2
Hazardous/Hazardous/e-waste/e-waste-2049017_1280 - Copy.jpg,Hazardous/Hazardous/paints/391w_e-waste-2049017_1280.jpg,Hazardous,Hazardous,0
Hazardous/Hazardous/paints/5-Hazardous-Waste-Examples-Image-1.jpeg,Hazardous/Hazardous/pesticides/pesticides3.jpg,Hazardous,Hazardous,0
Hazardous/Hazardous/paints/solvent-waste-container.webp,Hazardous/Hazardous/pesticides/consider-these-tips-on-how-to-safely-dispose-of-pesticides_1646_40117501_0_14045613_500.jpg,Hazardous,Hazardous,6
Hazardous/Hazardous/pesticides/81Fr9VLIgL._AC_UF10001000_QL80_.jpg,Hazardous/Hazardous/pesticides/the-complete-technology-book-on-pesticides-insecticides-fungicides-and-herbicides-500x500.jpg,Hazardous,Hazardous,2
Non-Recyclable/Non-Recyclable/ceramic_product/Beer_bottles_2018_G1.jpg,Recyclable/Recyclable/glass_containers/800px-Beer_bottles_2018_G1.jpg,Non-Recyclable,Recyclable,0
Non-Recyclable/Non-Recyclable/platics_bags_wrappers/Crisp-packets-800x450.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/Crisp-packets.jpg,Non-Recyclable,Non-Recyclable,0
Non-Recyclable/Non-Recyclable/sanitary_napkin/sustainability-10-04146-g001-550.jpg,Non-Recyclable/Non-Recyclable/sanitary_napkin/sustainability-10-04146-g001.png,Non-Recyclable,Non-Recyclable,2
Non-Recyclable/Non-Recyclable/stroform_product/800px-Yummp_hk_lunchbox.jpg,Non-Recyclable/Non-Recyclable/stroform_product/Yummp_hk_lunchbox.jpg,Non-Recyclable,Non-Recyclable,0
Non-Recyclable/Non-Recyclable/stroform_product/SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.jpg,Recyclable/Recyclable/paper_products/1610468941921.jpg,Non-Recyclable,Recyclable,0
Non-Recyclable/Non-Recyclable/stroform_product/Types-of-food-containers-considered-in-the-study-A-Aluminium-takeaway-container-B.jpg,Non-Recyclable/Non-Recyclable/stroform_product/file-20210908-13-1rlm677.png,Non-Recyclable,Non-Recyclable,0
Non-Recyclable/Non-Recyclable/stroform_product/Untitled-1024-C397-768px-16-1200x900.jpg,Non-Recyclable/Non-Recyclable/stroform_product/Untitled-1024-C397-768px-16.jpg,Non-Recyclable,Non-Recyclable,0
Non-Recyclable/Non-Recyclable/stroform_product/e3ea5ac8147d2274b0e1f61b09fbedc2.jpg,Non-Recyclable/Non-Recyclable/stroform_product/plastic-foam-food-packaging-ban-usa.jpg,Non-Recyclable,Non-Recyclable,0
Non-Recyclable/Non-Recyclable/stroform_product/eom212107-gra-0001-m.jpg,Non-Recyclable/Non-Recyclable/stroform_product/eom212107-toc-0001-m.jpg,Non-Recyclable,Non-Recyclable,0
Organic/Organic/coffee_tea_bags/Coffee-and-tea-bags_Shutterstock_Jouke-van-Keulen.jpg,Organic/Organic/coffee_tea_bags/depositphotos_6522878-stock-photo-coffee-beans-pads-and-tea.jpg,Organic,Organic,6
Organic/Organic/egg_shells/depositphotos_42000011-stock-photo-broken-chicken-eggshells.jpg,Organic/Organic/egg_shells/ways-to-use-eggshells.jpeg,Organic,Organic,2
Organic/Organic/food_scraps/190726-compost-al-1416.jpg,Organic/Organic/kitchen_waste/190726-compost-al-1416.jpg,Organic,Organic,0
Organic/Organic/food_scraps/Trashed_vegetables_in_Luxembourg.jpeg,Organic/Organic/kitchen_waste/1200px-Trashed_vegetables_in_Luxembourg.jpeg,Organic,Organic,0
Organic/Organic/food_scraps/food-waste-problem.jpg,Organic/Organic/kitchen_waste/0503070015-01-Kitchen-Waste-Compost.jpg,Organic,Organic,0
Organic/Organic/food_scraps/l-intro-1644823869.jpg,Organic/Organic/kitchen_waste/intro-1644823869.jpg,Organic,Organic,0
Organic/Organic/food_scraps/sustainability-waste-reducing-food-loss-article-header-fw.jpg,Organic/Organic/kitchen_waste/sustainability-waste-reducing-food-loss-article-header-fw.jpg,Organic,Organic,0
Organic/Organic/yard_trimmings/Urban-plants-yard-waste.jpg,Organic/Organic/yard_trimmings/trash.jpg,Organic,Organic,0
Organic/Organic/yard_trimmings/Yard-Waste-101.jpg,Organic/Organic/yard_trimmings/accectable-bags.webp,Organic,Organic,0
Recyclable/Recyclable/cans_all_type/360_F_141404485_na6RQwOXUQcEvWupbecza08k35l69Ben.jpg,Recyclable/Recyclable/cans_all_type/different-types-canned-food-illustration-600w-604738256.jpg,Recyclable,Recyclable,4
Recyclable/Recyclable/cans_all_type/4-reasons-why-we-should-recycle-aluminium-cans.jpg,Recyclable/Recyclable/cans_all_type/Screenshot-2023-02-15-100305.png,Recyclable,Recyclable,2
Recyclable/Recyclable/cans_all_type/aluminum-cans-in-recycling-kon-tum-vietnam-KJJ5CJ.jpg,Recyclable/Recyclable/cans_all_type/aluminum-cans-in-recycling-kon-tum-vietnam-usage-worldwide-PC54WW.jpg,Recyclable,Recyclable,2
Recyclable/Recyclable/cans_all_type/plastic-waste-and-other-recylable-items-1080x675.jpg,Recyclable/Recyclable/plastic_bottles/nick-fewings--2lJGRIY5P0-unsplash.jpg,Recyclable,Recyclable,6
Recyclable/Recyclable/glass_containers/can-glass-be-recycled-683x1024.jpg,Recyclable/Recyclable/plastic_bottles/img_5e7545baa3fe4.jpg,Recyclable,Recyclable,0
Recyclable/Recyclable/paper_products/800px-Box.agr.jpg,Recyclable/Recyclable/paper_products/Box.agr.jpg,Recyclable,Recyclable,0
Recyclable/Recyclable/plastic_bottles/02_bottle_mm9070_190418_2431-1-gif.gif,Recyclable/Recyclable/plastic_bottles/02_bottle_mm9070_190418_2431-1-gif_3x4.gif,Recyclable,Recyclable,6
Recyclable/Recyclable/plastic_bottles/4212d915183728270996d833a9ec3a2d--soda-bottle-crafts-soda-bottles.jpg,Recyclable/Recyclable/plastic_bottles/4212d915183728270996d833a9ec3a2d.jpg,Recyclable,Recyclable,0
Recyclable/Recyclable/plastic_bottles/drip-feeder-338x600.jpg,Recyclable/Recyclable/plastic_bottles/drip-feeder-e1517492065644.jpg,Recyclable,Recyclable,0
