relative_path,filename,extension,input_stage,normalization,mean_r,mean_g,mean_b,std_r,std_g,std_b,image_size,input_mode,status
Hazardous/batteries/1-s2.0-S0892687521004477-ga1.png,1-s2.0-S0892687521004477-ga1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/1-s2.0-S2405829720304827-fx1.png,1-s2.0-S2405829720304827-fx1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/1-s2.0-S2666016421000268-ga1.png,1-s2.0-S2666016421000268-ga1.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/12209_2020_236_Fig1_HTML.png,12209_2020_236_Fig1_HTML.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/12209_2020_236_Fig2_HTML.png,12209_2020_236_Fig2_HTML.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/18650Cell.png,18650Cell.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/19.13.png,19.13.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/1_Picture7.png,1_Picture7.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/40422.MN2400B8.png,40422.MN2400B8.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/41560_2019_368_Fig1_HTML.png,41560_2019_368_Fig1_HTML.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
Hazardous/batteries/41586_2019_1682_Fig1_HTML.png,41586_2019_1682_Fig1_HTML.png,.png,stage4_standardized,ImageNet,0.485,0.456,0.406,0.229,0.224,0.225,224x224,RGB,VALIDATED
